,Serial Number,Reg. Number,Word Mark,Live/Dead,Class(es)
1,97215453,,X XCCELERATE,LIVE,
2,97215443,,XCCELERATE,LIVE,
3,97099478,7001995,LINCOLN WEALTHACCELERATE,LIVE,
4,97806073,,ACCELERATE BETTER,LIVE,
5,97828468,,LEAP IN AND BUILD LEARN CONNECT ACCELERATE,LIVE,
6,97828459,,LEAP IN AND BUILD LEARN CONNECT ACCELERATE,LIVE,
7,97082263,,SYMPHONY ACCELERATE AI,LIVE,
8,97263710,,ACCELERATE ONLINE ACADEMY,LIVE,
9,97263642,,ACCELERATE EDUCATION,LIVE,
10,97148945,,ACCELERATE FARM PROFITS,LIVE,
11,97821461,,ACCELERATE. ELEVATE. DOMINATE.,LIVE,
12,97814975,,ACCELERATE YOUR IMPACT,LIVE,
13,97818368,,CELERATE,LIVE,
14,97795452,,EXCELERATE,LIVE,
15,97306488,,DAYNA MARIE GIRL BOSS UP & L.E.A.D (LEVERAGE ELEVATE ACCELERATE DOMINATE),LIVE,
16,97218163,,EXCELLERATE,LIVE,
17,97788392,,EXCELERATE,LIVE,
18,97408117,,ACCELER8,LIVE,
19,97234855,6985916,ACELERA FINANCIAL,LIVE,
20,97234850,6985915,ACELERA FINANCIAL,LIVE,
21,97313955,,XCELERATE INTELLIGENCE,LIVE,
22,97776199,,APPCAST XCELERATE,LIVE,
23,97775369,,PREMIER MORTGAGE RESOURCES XCELERATE,LIVE,
24,97774722,,APPCAST XCELERATE,LIVE,
25,97382957,,LEAP LEAP IN AND BUILD LEARN CONNECT ACCELERATE,LIVE,
26,97382950,,LEAP LEAP IN AND BUILD LEARN CONNECT ACCELERATE,LIVE,
27,97384982,,EXCELERATE CAPITAL,LIVE,
28,97303935,,VITALENGINE COMMUNICATE COLLABORATE ACCELERATE,LIVE,
29,97039610,,XCELERATE BY DZS,DEAD,
30,97375275,,ACCELERATE,LIVE,
31,97755814,,ACCELERATE SKILLED NURSING AND REHABILITATION,LIVE,
32,97755674,,ACCELERATE SKILLED NURSING AND REHABILITATION,LIVE,
33,97314450,,NEOACCELERATE,LIVE,
34,97194885,,ACCELERATE NATURE,LIVE,
35,97303401,,ACCELERATE YOUR GROWTH. LAP THE COMPETITION.,LIVE,
36,97025563,,ACCELERATE ARC,LIVE,
37,97723023,,ACCELERATE H2,LIVE,
38,97331127,,ARTEMISAI ACCELERATE DISCOVERY,LIVE,
39,97576762,,ACCELERATE,LIVE,
40,97334396,,XACTLY XCELERATE,LIVE,
41,97708601,,KNOW YOUR RISK. ACCELERATE YOUR RECOVERY.,LIVE,
42,97327070,,ACCELERATE3D,LIVE,
43,97324525,,CONNECT. PROTECT. ACCELERATE,LIVE,
44,97181079,6937835,ITG ACCELERATE,LIVE,
45,97511341,,REACH RALLY ENGAGE ACCELERATE CHALLENGE,LIVE,
46,97690383,,EXCELERATE513,LIVE,
47,97689131,,ACCELERATE4U,LIVE,
48,97645902,,ACCELERATE YOUR GAME,LIVE,
49,97290420,,ACCELERATE YOUR GOLF SWING,LIVE,
50,97398743,,PLAID ACCELERATE,LIVE,